"","Product","TitleOfReview","ReviewerName","TypeOfPurchase","Date","IndividualRating","ReviewText"
"11","soundcore by Anker Space A40 Adaptive Active Noise Cancelling Wireless Earbuds, Reduce Noise by Up to 98%, Ultra Long 50H Playtime, 10H Single Playtime, Hi-Res Sound, Comfortable Fit, Wireless Charge  ","Loving it, amazing for the price","OMN1","Verified Purchase","Reviewed in Australia on 30 December 2023","5.0 out of 5 stars","        Was looking for a comfortable pair for earphones to listen to music with a higher quality without the need to wear massive headphones. Never knew about IEM's did about ten mins of research and was convinced that these ZS10 PRO is what I needed, I was not disappointed.It takes a bit of fiddling to get the ear plug that works for you, but when you do its heaven. A crisp sound with deep bass (I listen to a lot of edm, rock, metal, screamo and phonk plus the occasional 80's classics) and these produce sounds I've never heard before within songs. 10/10 if you're looking at getting a pair of comfortable earphones what are crazy obvious, you're wearing some which produce great sound, go no further.  "
"12","soundcore by Anker Space A40 Adaptive Active Noise Cancelling Wireless Earbuds, Reduce Noise by Up to 98%, Ultra Long 50H Playtime, 10H Single Playtime, Hi-Res Sound, Comfortable Fit, Wireless Charge  ","My son loves them !","Cosimo Raffaele","Verified Purchase","Reviewed in Australia on 4 January 2024","5.0 out of 5 stars","        Bang for your buck! Sounds AMAZING. Simple not a lot of trash packaging. Very satisfied with the product. However, this is still new, so product durability is unknown. However, the feeling to the touch is definitely expensive.  "
"13","soundcore by Anker Space A40 Adaptive Active Noise Cancelling Wireless Earbuds, Reduce Noise by Up to 98%, Ultra Long 50H Playtime, 10H Single Playtime, Hi-Res Sound, Comfortable Fit, Wireless Charge  ","Best in-ears I've used.","Cytokyn","Verified Purchase","Reviewed in Australia on 26 January 2024","5.0 out of 5 stars","        For a reasonable price you get top quality.  "
"14","soundcore by Anker Space A40 Adaptive Active Noise Cancelling Wireless Earbuds, Reduce Noise by Up to 98%, Ultra Long 50H Playtime, 10H Single Playtime, Hi-Res Sound, Comfortable Fit, Wireless Charge  ","Quite an average sound.","Endro Wedianto","Verified Purchase","Reviewed in Australia on 20 February 2024","4.6 out of 5 stars","        I followed the instructions and started with the smallest silicon earpieces. Ended up with the second smallest, which are comfortable, and still seal the ear canals.I couldn't see a L or an R anywhere but figured the cable with the button is the right channel.Worked out which way around the pods go and plugged them in.I am listening to them through a XDUOO XD05 Bal DAC/Headphone Amp.Hard to say they sound as good as my $400 Sony WH1000 Noise-cancelling headphones, but they sound great, and I have no desire to change. They are truly a comfortable fit once you get the silicon earpiece sizes sorted. Also a lot less cumbersome to wear and not as expensive to lose as the WH1000 Headphones; and they fit in my pocket, although I'd probably use a pouch first.3.5mm plug didn't want to plug into the phone and stay but did snap into the 3.5mm to 6.5mm adaptor that plugs into the DAC.Well worth the coin.  "
"15","soundcore by Anker Space A40 Adaptive Active Noise Cancelling Wireless Earbuds, Reduce Noise by Up to 98%, Ultra Long 50H Playtime, 10H Single Playtime, Hi-Res Sound, Comfortable Fit, Wireless Charge  ","wow","Daniel Gorgievski","Verified Purchase","Reviewed in Australia on 4 September 2023","5.0 out of 5 stars","        They work, They're loud, They're clear (very Clear) and I think that they will go pound for pound with many of the other models out there with a much higher price point. If you are looking to buy these for everyday use and not professional use. Then you have found a decent set of plugs.... Now, you're gonna have other users tell you they are muddy, tinny, lack mid and even have overpowering mids.. let's face it, you're probably not even going to notice as a standard user listening to Spotify... If you're a professional and need them for specific work or whatever, then this isn't the review for you. All i can say as what i call a standard user/music lover they get the job done and done very well... Fit better then that air pods pro from a fit side. Do have some weight from the styling of the metal and the cable will question your ability to set them up.. The over ear cable also secured them well after i had to swap the way i put them together. Passive sound isolation is as others would be. Ear tips a comfortable. Cable length is acceptable. would buy again if i had to purchase another pair.  "
"16","soundcore by Anker Space A40 Adaptive Active Noise Cancelling Wireless Earbuds, Reduce Noise by Up to 98%, Ultra Long 50H Playtime, 10H Single Playtime, Hi-Res Sound, Comfortable Fit, Wireless Charge  ","Bang for your buck! Sounds AMAZING","Neddy Spaghetti","Verified Purchase","Reviewed in Australia on 8 December 2023","3.0 out of 5 stars","        It sounds great I can tell. I’m also biased because this is my first ever in-ear monitor, but if you are in the same place as me, it is a great choice. It can be a bit bulky when you put it in your ear, if you get to compare with other brands. But who cares? It is comfortable in my ears. :D  "
"17","soundcore by Anker Space A40 Adaptive Active Noise Cancelling Wireless Earbuds, Reduce Noise by Up to 98%, Ultra Long 50H Playtime, 10H Single Playtime, Hi-Res Sound, Comfortable Fit, Wireless Charge  ","Amazing sound","NICK G","Verified Purchase","Reviewed in Australia on 22 December 2023","5.0 out of 5 stars","        This product is amazing. I love sound quality. The sound quality is impressive..Highly recommend  "
"18","soundcore by Anker Space A40 Adaptive Active Noise Cancelling Wireless Earbuds, Reduce Noise by Up to 98%, Ultra Long 50H Playtime, 10H Single Playtime, Hi-Res Sound, Comfortable Fit, Wireless Charge  ","Impressive sound for such little money.","MARCEL MEDINA","Verified Purchase","Reviewed in Australia on 27 February 2023","5.0 out of 5 stars","        I really like everything about these ear phones.I switched out the standard size earbuds to the smallest one as I have small ears. And it’s super comfortable and at times you forget you’re wearing it.My only complaint is that the cable is a bit too short for my needs. These are my first ever in ear monitor earphones so not sure if that’s a standard length hence I didn’t take off any stars for it.Otherwise I’m happy with it. Sound quality was great, already helped me fix some of my vocal and guitar mixing for my helix live performance presets.I do recommend the purchase.  "
"19","soundcore by Anker Space A40 Adaptive Active Noise Cancelling Wireless Earbuds, Reduce Noise by Up to 98%, Ultra Long 50H Playtime, 10H Single Playtime, Hi-Res Sound, Comfortable Fit, Wireless Charge  ","For the price, you get a lot of sound!!!","Lion Jean","Verified Purchase","Reviewed in Australia on 16 October 2022","5.0 out of 5 stars","        Very good smooth  "
"20","soundcore by Anker Space A40 Adaptive Active Noise Cancelling Wireless Earbuds, Reduce Noise by Up to 98%, Ultra Long 50H Playtime, 10H Single Playtime, Hi-Res Sound, Comfortable Fit, Wireless Charge  ","My first in-ear monitor","Kevin Magalona","Verified Purchase","Reviewed in Australia on 15 September 2023","5.0 out of 5 stars","        Absolutely blown away with the value for money with these IEMs. I found these by accident and seen some reviews, but experiencing them myself has really been a game changer. I couldn’t believe what I was hearing and the bass punches way above it’s weight. I ended up buying another set as back up…totally in love with these and no one will change my mind 😀  "
"21","soundcore by Anker Space A40 Adaptive Active Noise Cancelling Wireless Earbuds, Reduce Noise by Up to 98%, Ultra Long 50H Playtime, 10H Single Playtime, Hi-Res Sound, Comfortable Fit, Wireless Charge  ","Perfect","KimH ","Verified Purchase","Reviewed in Australia on 10 November 2023","5.0 out of 5 stars",""
"22","soundcore by Anker Space A40 Adaptive Active Noise Cancelling Wireless Earbuds, Reduce Noise by Up to 98%, Ultra Long 50H Playtime, 10H Single Playtime, Hi-Res Sound, Comfortable Fit, Wireless Charge  ","Only one complaint but it’s probably just me","Bill","Verified Purchase","Reviewed in Australia on 6 March 2023","5.0 out of 5 stars","        Very happy with this purchase for the price tag.  "
"23","soundcore by Anker Space A40 Adaptive Active Noise Cancelling Wireless Earbuds, Reduce Noise by Up to 98%, Ultra Long 50H Playtime, 10H Single Playtime, Hi-Res Sound, Comfortable Fit, Wireless Charge  ","Great price",NA,"Verified Purchase","Reviewed in Australia on 5 November 2023","5.0 out of 5 stars","        Very comfy, good sound, not the best, but better than apple default headphones.They aren't overbearing in bass, slight distortion at louder volumes. They are still quite 'punchy' without that cheap sound feel from $5 headphones.Not as good as bose headphones or more expensive sony.Still much better than anything else at this price.The sound clarity I would rate 7/10.Found them quite comfortable.Would buy them again at this price.Decent degree of sound isolation.Gives an immersive feel to the sound that I find quite nice. Feels like the sound is in your head. Doesn't have that large sound stage but these are in ear so eh.They are now my go to headphones if I'm using them at home  "
"24","soundcore by Anker Space A40 Adaptive Active Noise Cancelling Wireless Earbuds, Reduce Noise by Up to 98%, Ultra Long 50H Playtime, 10H Single Playtime, Hi-Res Sound, Comfortable Fit, Wireless Charge  ","AMAZING PRODUCT","Excellent earlier delivery and excellent product as well im very happ ","Verified Purchase","Reviewed in Australia on 9 July 2023","5.0 out of 5 stars","        Great product. Lived up to expectations as described in numerous reviews.My evaluation is based on listening to music tracks having a full range of the sound spectrum.Compared with other headphones, sound great.Have to be worn and inserted in the ear correctly to obtain the best of the sound characteristics these units can deliver.Yet to try on intended use, monitoring electronic drums however.Great sound for the price. Very happy with this purchase.  "
"25","soundcore by Anker Space A40 Adaptive Active Noise Cancelling Wireless Earbuds, Reduce Noise by Up to 98%, Ultra Long 50H Playtime, 10H Single Playtime, Hi-Res Sound, Comfortable Fit, Wireless Charge  ","Best in-ears I've used.","Excellent earlier delivery and excellent product as well im very happ ","Verified Purchase","Reviewed in Australia on 26 January 2024","5.0 out of 5 stars","        I wasn't sure what to expect when these arrived, but after playing around with the fit, it became pretty obvious these headphones represent amazing value.  The tone is warm and detailed, with the bass being round, defined and not muddy at all with decent low end extension.  I found myself skipping through tracks trying to find a genre that they would stumble on, but they're surprisingly well balanced.  If you're interested in seeing what these multi-driver IEMs are like without spending too much money, I doubt you'll be disappointed with these.  Whether they last any length of time, we'll see.. I really hope they do.  "
"26","soundcore by Anker Space A40 Adaptive Active Noise Cancelling Wireless Earbuds, Reduce Noise by Up to 98%, Ultra Long 50H Playtime, 10H Single Playtime, Hi-Res Sound, Comfortable Fit, Wireless Charge  ","Quite an average sound.","Jay L","Verified Purchase","Reviewed in Australia on 20 February 2024","5.0 out of 5 stars","        The sound is incredible coming from HD Audio straight out of a motherboard. Super clean sound and so interesting to hear something so compact produce such a powerful sound. The high end is present but never over the top at all. Such a good tune from these guys even listening to super loud mixes. The clarity is insane moving from over the ear headphones that are more than double the cost.Cannot recommend these enough! Impressive!  "
"27","soundcore by Anker Space A40 Adaptive Active Noise Cancelling Wireless Earbuds, Reduce Noise by Up to 98%, Ultra Long 50H Playtime, 10H Single Playtime, Hi-Res Sound, Comfortable Fit, Wireless Charge  ","Excellent","Jack Sparrow","Verified Purchase","Reviewed in Australia on 1 November 2023","4.6 out of 5 stars","        Comfortable, good sound quality across the spectrum. Bass level is dependent upon hwo well you seat the ear tip in your ear.  "
"28","soundcore by Anker Space A40 Adaptive Active Noise Cancelling Wireless Earbuds, Reduce Noise by Up to 98%, Ultra Long 50H Playtime, 10H Single Playtime, Hi-Res Sound, Comfortable Fit, Wireless Charge  ","Value for money","Anthony Putten","Verified Purchase","Reviewed in Australia on 16 October 2023","5.0 out of 5 stars","        They’re fine. In-ear monitors are weird.  "
"29","soundcore by Anker Space A40 Adaptive Active Noise Cancelling Wireless Earbuds, Reduce Noise by Up to 98%, Ultra Long 50H Playtime, 10H Single Playtime, Hi-Res Sound, Comfortable Fit, Wireless Charge  ","Aussie review: Best in ear headphones for the price.","Nb","Verified Purchase","Reviewed in Australia on 26 August 2022","3.0 out of 5 stars","        It may sound odd for something this inexpensive, but these so far are best sounding IEMs I’ve owned. These completely blow my US $1500 custom moulded 6 driver IEMs out of the water, as well as all my other leading brand IEMs. I am completely amazed at the sparkling top end, perfect amount of bass and slightly rolled back mids. For me, the default ear buds perfectly isolate the outside noise. I immediately bought a second pair as well as the upgraded cables. Using these now as my main IEMs on stage.  "
"30","soundcore by Anker Space A40 Adaptive Active Noise Cancelling Wireless Earbuds, Reduce Noise by Up to 98%, Ultra Long 50H Playtime, 10H Single Playtime, Hi-Res Sound, Comfortable Fit, Wireless Charge  ","Great sound and value","Christian Ramsden","Verified Purchase","Reviewed in Australia on 2 May 2023","5.0 out of 5 stars","        My first KZ product was a pair of AS10's, which I loved and still have 2 years later. I wanted a new set of earphones (with a mic) to use for conference calls (Skype / Zoom etc) at my workstation. For that purpose these work great. I find them comfortable to wear for hours at a time and frequently use them to listen to music and edit video work.I was very surprised to hear the EQ difference between these and the AS10's. Both have more clarity and detail than anything I've used before, including $400+ Bose headphones. The ZS10's have a far brighter EQ than the AS10's (which are warmer and more bottom heavy, but not what I'd call boomy). The ZS10's have a lot of top end clarity and fairly tight/controlled bass. I boost the bass slightly on my SoundBlaster external interface. Switching between these two earphones is chalk and cheese, but after a few minutes on either I'm content.For 5 drivers per side, at this sort of money, this is hard to beat.  "
"31","soundcore by Anker Space A40 Adaptive Active Noise Cancelling Wireless Earbuds, Reduce Noise by Up to 98%, Ultra Long 50H Playtime, 10H Single Playtime, Hi-Res Sound, Comfortable Fit, Wireless Charge  ","These sound fantastic","Mitchell Winyard","Verified Purchase","Reviewed in Australia on 31 October 2022","5.0 out of 5 stars","      Son pequeños y no pesan lo que los hace cómodos, buen sonido que claro no esperar como los de $2000, vale la pena por el precio, el cable se siente delgado    "
"32","soundcore by Anker Space A40 Adaptive Active Noise Cancelling Wireless Earbuds, Reduce Noise by Up to 98%, Ultra Long 50H Playtime, 10H Single Playtime, Hi-Res Sound, Comfortable Fit, Wireless Charge  ","Wait... How much are these?!","Amazon Customer","Verified Purchase","Reviewed in Australia on 5 April 2023","5.0 out of 5 stars","        TL;DR: How are these 20 bucks? They sound great and have an incredible metal build while being light  and comfortable. Buy these. WtfThe Build:How are these $20… This is the most premium headphone I've ever opened and it was $20. They're insane. They are metal. They feel substantial in your hand, but light when you put them in they are so small and the fit is incredible, unsurprising for IEMs anyways, but I have some CCZ coffee beans that fit great but are bigger so don't enter as deeply, so these definitely take the cake.They have a leather pouch which is Primo, and not what I was expecting (I didn't see any pics beforehand).The eartips are pretty standard (no foam) and do a good job blocking out the outside world, it’s no active noise canceling and I’ve used better passive, but again they’re 20 bucks.The cable is a bit thinner than other IEM’s I have, and they don't have controls or a microphone. There is a slightly more expensive version with a thicker cable and controls and a mic, although its’ USB-C? Honestly I like the cable, it's light and more out of the way, and if nothing else I’ll just use a different cable from another set of IEM’s.The Sound:They sound excellent. I do think that the mids and highs are a little darker than I'm used to, but it's nothing that I couldn't fix myself with an EQ. They’ve very detailed, I'm running them with the BTR 5 and with Wavelet on and they sound pretty crisp. They're not the most clean I've ever heard, but definitely up there, and ESPECIALLY for $20. I do wish they were treblier, but I’m being picky at that point.I listened to a FLAC of AM by the Arctic Monkeys and they sound real good.I’m not sure what else to say about the sound, it’s dark and bassy, but it's nice and smooth; it’s unlike the bass outta some headphones I’ve tried.They do get loud. I've been listening to them at 60 percent without issue, they do get too loud at about 85 percent, if you’re into that sort of thing.The Music:FLAC - AM by Arctic MonkeysFLAC - Discovery by Daft PunkFLAC - IGOR by Tyler, The CreatorSpotify - I Need to Start a Garden by Haley HeyndrickxSpotify - Locket by CrumbSpotify - Various songs by MitskiThe Conclusion:I'm definitely going to be daily driving them at least for a bit, and again just an incredible package for 20 bucks (I'm excited for the leather pouch). I’m thinking these will be a great gift for friends.The Waifu:Excellent, my wife likes pandas lol  "
"33","soundcore by Anker Space A40 Adaptive Active Noise Cancelling Wireless Earbuds, Reduce Noise by Up to 98%, Ultra Long 50H Playtime, 10H Single Playtime, Hi-Res Sound, Comfortable Fit, Wireless Charge  ","Worth it so far","SW","Verified Purchase","Reviewed in Australia on 31 August 2023","5.0 out of 5 stars","      La iem migliore che tu possa acquistare a quel prezzo, non c’è dubbio.Costruzione in alluminio, qualità audio eccellente per utilizzo quotidiano, leggera e comoda.Ottimo acquisto .. meglio di alcune cuffie (soprattutto quelle da gaming) anche sopra i 100€.Consigliatissime.    "
"34","soundcore by Anker Space A40 Adaptive Active Noise Cancelling Wireless Earbuds, Reduce Noise by Up to 98%, Ultra Long 50H Playtime, 10H Single Playtime, Hi-Res Sound, Comfortable Fit, Wireless Charge  ","Got them cos I was told they’re great","sailorsushi","Verified Purchase","Reviewed in Australia on 3 October 2023","5.0 out of 5 stars","      Nawet nie ma porównania do innych słuchawek w tym zakresie cenowym. Doskonale zbalansowane, a jednocześnie niewyjałowione neutralnym brzmieniem. Przyjemność ze słuchania jest niewyobrażalna. Przerobiłem inne polecane chińczyki poniżej 100zł i żadne nie dorastają nawet do pięt ww. wynalazkom.    "
"35","soundcore by Anker Space A40 Adaptive Active Noise Cancelling Wireless Earbuds, Reduce Noise by Up to 98%, Ultra Long 50H Playtime, 10H Single Playtime, Hi-Res Sound, Comfortable Fit, Wireless Charge  ","Incredible sound, comfort and value.","harry","Verified Purchase","Reviewed in Australia on 6 December 2022","5.0 out of 5 stars","        I like these better than my 7hz Salnotes zero and these are cheaper. Smaller and more comfortable and i enjoy the soundprofile more, and i use mine for my pc, mostly gaming and media.  "
"36","soundcore by Anker Space A40 Adaptive Active Noise Cancelling Wireless Earbuds, Reduce Noise by Up to 98%, Ultra Long 50H Playtime, 10H Single Playtime, Hi-Res Sound, Comfortable Fit, Wireless Charge  ","Amazing Value for Money","Stoked with these headphones ","Verified Purchase","Reviewed in Australia on 6 August 2020","5.0 out of 5 stars","      Ce n'est pas le meilleur son du monde, mais il mettent à l'amende pas mal de modèles à 60€.Le bundle ne gâche rien.Bizarrement je suis plus à l'aise avec de gros embouts sans les faire pénétrer totalement dans mon canal auditif, ce n'est pourtant pas mon habitude.    "
"37","soundcore by Anker Space A40 Adaptive Active Noise Cancelling Wireless Earbuds, Reduce Noise by Up to 98%, Ultra Long 50H Playtime, 10H Single Playtime, Hi-Res Sound, Comfortable Fit, Wireless Charge  ","Best in-ears I've used.","Amazon Customer","Verified Purchase","Reviewed in Australia on 26 January 2024","5.0 out of 5 stars","        I have a lot of IEM’s (about 25) ranging fro 17,- euro up to 599,- euro.These IEM’s sound absolutely amazing. The treble is not harsh or fatiguing and the bass is just right. I use them daily now, especially before I go to sleep. At this moment I only use the Chu 2 and my HiFiMan re800. All my other IEM’s are currently not in use. In my opinion these earphones sound like they cost between 80,- and 120,- euro or even more, sounding better then my KZ PR1 Pro, Hidisz MS2 and Hidisz MS3 that cost about 5 times more than the Chu 2.I strongly recommend the Chu 2, no need to buy more expensive earphones. In my opinion the best IEM of 2023.  "
"38","soundcore by Anker Space A40 Adaptive Active Noise Cancelling Wireless Earbuds, Reduce Noise by Up to 98%, Ultra Long 50H Playtime, 10H Single Playtime, Hi-Res Sound, Comfortable Fit, Wireless Charge  ","Quite an average sound.","Analyn","Verified Purchase","Reviewed in Australia on 20 February 2024","5.0 out of 5 stars","        Yeah, these are dirt cheap and they sound great and they hold up well. Not sure what else you could say about them. I had the Chu 1s, and they were sibilant, they could be fatiguing. Don't have that problem with these. These are my go to convenience wired headphones right now.  "
"39","soundcore by Anker Space A40 Adaptive Active Noise Cancelling Wireless Earbuds, Reduce Noise by Up to 98%, Ultra Long 50H Playtime, 10H Single Playtime, Hi-Res Sound, Comfortable Fit, Wireless Charge  ","Impressive sound without breaking the bank","Analyn","Verified Purchase","Reviewed in Australia on 5 February 2022","5.0 out of 5 stars","        I'm surprised to see some rather mediocre reviews re these Chu 2s as I found them to be clear, open (for IEMs), have good soundstage (for IEMs), have no overwhelming bass or treble, no treble splash, no noticeable straining at higher volumes, no over or under presentation of male or female singers & a good balance between instruments & voices. They are also easy to drive.The earphones are very well made using zinc alloy (completely I think) & are a steal at £19.  They are very compact, lightweight & not at all bulky - diminutive. However, their sound is not hampered by their physical size.  The unique aluminium/magnesium diaphragm used seems to have made a big positive difference to the overall sound.I didn't use the cable that came with the phones - instead I used a reference one & this proved that the Chu's are worthy of upgrading the cable if you want to improve sound quality.  These probably aren't for those who consider themselves baseheads but will suit those looking for good sound accuracy & a balanced sound.  In my opinion, they're worthy successors to the original Chu's.  Recommended  "
"40","soundcore by Anker Space A40 Adaptive Active Noise Cancelling Wireless Earbuds, Reduce Noise by Up to 98%, Ultra Long 50H Playtime, 10H Single Playtime, Hi-Res Sound, Comfortable Fit, Wireless Charge  ","Great quality at a good price","Patrick Le","Verified Purchase","Reviewed in Australia on 14 July 2023","5.0 out of 5 stars","        I feel like I just robbed someone. These sound better then earphones costing over $200. I had to come here just to write a review. These sound almost like over ear headphones they have a wider soundstage then any other earphones. The lows are phenomenal and the mids & highs. These are perfection and they get loud. The highs are perfect not harsh or fatiguing at all, but still energetic n nice highs. Super deep nice lows, natural mids. They sound very full and big something you would expect from much bigger drivers like over ear headphones. Plus the build quality alone makes it worth the money, they are all metal and again better then earphones costing $200+. The wire is amazing and I would pay the money for the wire alone, its detachable and you can add in a wire with a mic or a balanced cable. Also comes with a nice high quality carrying case, some sort of soft feeling leather.  "
"41","soundcore by Anker Space A40 Adaptive Active Noise Cancelling Wireless Earbuds, Reduce Noise by Up to 98%, Ultra Long 50H Playtime, 10H Single Playtime, Hi-Res Sound, Comfortable Fit, Wireless Charge  ","The best!","Tamati Thompson-Smith","Verified Purchase","Reviewed in Australia on 19 October 2022","4.6 out of 5 stars",NA
"42","soundcore by Anker Space A40 Adaptive Active Noise Cancelling Wireless Earbuds, Reduce Noise by Up to 98%, Ultra Long 50H Playtime, 10H Single Playtime, Hi-Res Sound, Comfortable Fit, Wireless Charge  ","good for gaming","Scotchss","Verified Purchase","Reviewed in Australia on 31 August 2023","5.0 out of 5 stars",NA
"43","soundcore by Anker Space A40 Adaptive Active Noise Cancelling Wireless Earbuds, Reduce Noise by Up to 98%, Ultra Long 50H Playtime, 10H Single Playtime, Hi-Res Sound, Comfortable Fit, Wireless Charge  ","These IEM work brilliantly especially in the bottom end for bass guitarists","Gazza","Verified Purchase","Reviewed in Australia on 22 August 2023","3.0 out of 5 stars","        A little skeptical because of price, but happily surprised with how good they sound, I play fps games and they are grey  "
"44","soundcore by Anker Space A40 Adaptive Active Noise Cancelling Wireless Earbuds, Reduce Noise by Up to 98%, Ultra Long 50H Playtime, 10H Single Playtime, Hi-Res Sound, Comfortable Fit, Wireless Charge  ","Great quality headset","Rimshot_24","Verified Purchase","Reviewed in Australia on 15 June 2023","5.0 out of 5 stars","        These headphones surely pack a punchWow wow wow!!  "
"45","soundcore by Anker Space A40 Adaptive Active Noise Cancelling Wireless Earbuds, Reduce Noise by Up to 98%, Ultra Long 50H Playtime, 10H Single Playtime, Hi-Res Sound, Comfortable Fit, Wireless Charge  ","Didn't expect the sound quality to be this good at this price point","Rimshot_24","Verified Purchase","Reviewed in Australia on 29 August 2023","5.0 out of 5 stars","        This is my first In-Ear Monitor. I've always used earbuds before but the KZ ZS10 Pro are levels above in sound quality. Cable looping over ears seemed a bit strange at first but it holds them securely and makes them very comfortable to wear for long periods. They have a very balanced sound and you can hear an amazing level of detail and position for instruments and vocals. This is also helped by great sound isolation. I don't know how they do it for the price.  "
